BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
MFG Shinfield Service Station,Retailers - other,211 Shinfield Road,Reading,,RG2 8HA,5,2024-09-14,Reading,5,5,5,-0.945974,51.4275769
Micklands Pre-School,Hospitals/Childcare/Caring Premises,Micklands Road,Caversham,Reading,RG4 6LU,5,2026-03-20,Reading,0,0,0,,
Milanoz King Pizza,Takeaway/sandwich shop,136 Wokingham Road,Reading,,RG6 1JL,3,2026-06-08,Reading,10,10,10,-0.9383545,51.4492704
Milk Bar Reading,Pub/bar/nightclub,8 Merchants Place,Reading,Berkshire,RG1 1DT,5,2025-03-19,Reading,0,0,0,-0.9734715,51.4573793
Miller & Carter at The Oracle,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AG,5,2026-03-18,Reading,0,5,5,,
Miller & Carter Caversham,Pub/bar/nightclub,109 Kidmore Road,Caversham,Reading,RG4 7NH,5,2025-10-16,Reading,5,5,5,-0.9855472,51.4801355
Millie's Cookies The Oracle,Retailers - other,Bridge Street,Reading,,RG1 2AH,4,2025-10-23,Reading,5,10,5,,
Mini Market,Retailers - other,29 Whitley Street,Reading,,RG2 0EG,AwaitingInspection,,Reading,,,,-0.9654033,51.4456458
Mini Mo’z Kebabs,Takeaway/sandwich shop,27 Prospect Street Caversham,Reading,,RG4 8JB,AwaitingInspection,,Reading,,,,-0.9715831,51.4684141
Miniso,Retailers - other,11 Broad Street,Reading,,RG1 2BH,Exempt,,Reading,,,,-0.9707038,51.4556465
Miquill,Other catering premises,New Town Primary School School Terrace,Reading,,RG1 3LS,AwaitingInspection,,Reading,,,,,
Miss Sheilas,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Miyoung Kimchi,Other catering premises,,,,,4,2025-11-06,Reading,5,5,10,,
MJ Butequim,Other catering premises,1a Buckland Road,Reading,,RG2 7SP,4,2025-10-29,Reading,10,5,5,-0.9679163,51.4337538
MK Food & Wine,Retailers - other,598-602 Oxford Road,Reading,,RG30 1EG,3,2026-05-03,Reading,10,10,10,-1.00474,51.4590878
Mleczko Delikatesy,Retailers - other,30 West Street,Reading,,RG1 1TZ,5,2025-01-29,Reading,0,5,5,-0.9758825,51.4557639
MNKY Lounge,Pub/bar/nightclub,30 Erleigh Road,Reading,,RG1 5NA,4,2025-11-14,Reading,5,5,10,-0.951,51.44949
Mo Mo 2 Go,Other catering premises,172 Oxford Road,Reading,,RG1 7PL,3,2026-07-13,Reading,10,10,10,-0.988634,51.4557848
Momo Bros,Other catering premises,101 Northumberland Avenue,Reading,,RG2 7PT,5,2026-05-12,Reading,5,5,5,-0.9623216,51.4381464
Momo Cha,Other catering premises,,,,,5,2026-03-31,Reading,5,5,5,,
Momo House,Other catering premises,28 Farnham Drive,Caversham,Reading,RG4 6NY,5,2025-02-27,Reading,5,5,5,-0.946685,51.478084
Momo Nepal,Restaurant/Cafe/Canteen,13 West Street,Reading,,RG1 1TT,4,2026-02-10,Reading,5,10,5,-0.9754607,51.455958
Mon Cheri,Restaurant/Cafe/Canteen,18 West Street,Reading,,RG1 1TT,5,2024-12-14,Reading,0,5,5,-0.9752929,51.4557407
Monkeymoos Highdown,Other catering premises,The Pavillion Surley Row,Reading,,RG4 8LP,3,2025-08-13,Reading,10,10,10,,
MonkeyMoos Huntley Wharf,Other catering premises,Huntley Wharf 2 Kenavon Drive,Reading,,RG1 3DH,3,2025-06-27,Reading,10,10,10,-0.96222,51.45708
Monkey's Cafe,Restaurant/Cafe/Canteen,9 Greyfriars Road,Reading,,RG1 1NU,3,2025-12-11,Reading,10,10,10,-0.9759526,51.4577787
Monty's Café,Restaurant/Cafe/Canteen,41 Addington Road,Reading,,RG1 5PZ,5,2026-05-07,Reading,5,0,5,-0.9499289,51.4484304
Mooboo Bubble Tea,Takeaway/sandwich shop,39-41 Oxford Road,Reading,,RG1 7QG,5,2025-10-23,Reading,5,5,5,-0.9770197,51.4551084
Moogles,Mobile caterer,67 Chichester Road,Reading,,RG30 4XJ,AwaitingInspection,,Reading,,,,-1.0306014,51.4579375
Moorlands Rest Home,Hospitals/Childcare/Caring Premises,987 Oxford Road,Tilehurst,Reading,RG31 6TN,5,2025-08-07,Reading,5,5,5,-1.0305254,51.4710381
Morrisons,Retailers - supermarkets/hypermarkets,Basingstoke Road,Reading,,RG2 0HB,5,2025-07-06,Reading,5,5,5,,
Morrisons Daily,Retailers - other,24 Coronation Square,Reading,,RG30 3QN,5,2026-08-13,Reading,5,5,5,-1.0105338,51.442079
Morrisons Daily,Retailers - other,56-58 Wensley Road,Reading,,RG1 6DJ,4,2025-07-23,Reading,10,0,10,-0.9855496,51.4455792
Morrisons Daily,Retailers - other,Milestone Way,Caversham,Reading,RG4 8XW,5,2024-10-19,Reading,5,5,5,,
Morrisons Petrol,Retailers - other,Basingstoke Road,Reading,,RG2 0HB,5,2024-07-27,Reading,0,5,5,,
Mo's Kebab,Mobile caterer,20-22 Richfield Avenue,Reading,,RG1 8EQ,3,2026-05-19,Reading,5,10,10,-0.9823905,51.4640754
Mosaic's Peri Peri,Takeaway/sandwich shop,51 Wokingham Road,Reading,,RG6 1LH,2,2026-03-18,Reading,15,5,10,-0.9376669,51.4491997
Mr Cod,Takeaway/sandwich shop,155-161 Caversham Road,Reading,,RG1 8BB,5,2025-09-17,Reading,5,5,5,-0.9762498,51.4631586
Mr Cod,Takeaway/sandwich shop,176 Oxford Road,Reading,,RG1 7PL,1,2026-05-13,Reading,10,10,20,-0.9887632,51.4558039
Mr Cod,Takeaway/sandwich shop,211 London Road,Reading,,RG1 3NU,5,2026-05-19,Reading,5,5,0,-0.9486384,51.4532385
Mr Cod,Takeaway/sandwich shop,225 Shinfield Road,Reading,,RG2 8HD,5,2026-07-21,Reading,5,5,5,-0.9462326,51.4271045
Mr Cod,Takeaway/sandwich shop,543 Oxford Road,Reading,,RG30 1HJ,2,2025-12-15,Reading,10,15,10,-1.0014696,51.4579
Mr Cod,Takeaway/sandwich shop,65 Whitley Street,Reading,,RG2 0EG,5,2025-01-07,Reading,5,5,5,-0.9649175,51.4448592
Mr Flame Peri Peri,Takeaway/sandwich shop,439 Basingstoke Road,Reading,,RG2 0JF,4,2026-02-17,Reading,5,10,5,-0.9696321,51.4271687
Mr Hafiz,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Mr Simms,Retailers - other,68 Broad Street,Reading,,RG1 2AF,3,2026-04-09,Reading,5,10,10,-0.9748338,51.4556738
Mr T's Reading,Restaurant/Cafe/Canteen,43-45 Oxford Road,Reading,,RG1 7QE,4,2026-07-15,Reading,5,10,5,-0.9772255,51.4549124
Mr Yucel Timur Mobile Van - DU14 PJJ,Mobile caterer,The Triangle,Tilehurst,Reading Berkshire,,5,2026-02-11,Reading,5,0,5,,
Mrs D's MarvellousCakes,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Mrs Peri Peri Kitchen,Takeaway/sandwich shop,549 Oxford Road,Reading,,RG30 1HJ,5,2025-10-01,Reading,5,5,5,-1.0016413,51.4579464
M's Smokehouse,Restaurant/Cafe/Canteen,93 Basingstoke Road,Reading,,RG2 0HA,4,2026-02-16,Reading,5,5,10,-0.96750159,51.43892915
Ms Susan Jane Hubbard,Other catering premises,161 Kidmore Road,Caversham,Reading,RG4 7NJ,5,2019-02-12,Reading,0,0,0,-0.988002,51.4824317
Muffin Break Reading,Restaurant/Cafe/Canteen,Broad Street Mall 213-217 Broad Street,Reading,,RG1 7QH,4,2026-02-09,Reading,10,5,5,-0.9762878,51.4550121
Mulberry Care Home,Hospitals/Childcare/Caring Premises,155a Wokingham Road,Reading,,RG6 1LP,5,2026-02-18,Reading,5,0,0,-0.9329037,51.4454354
Munch,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Munchees,Restaurant/Cafe/Canteen,2-3 Butter Market,Reading,,RG1 2DP,4,2024-12-21,Reading,5,10,5,-0.9701349,51.4553448
Munchiies,Restaurant/Cafe/Canteen,65 Wokingham Road,Reading,,RG6 1LH,5,2021-06-19,Reading,5,5,0,-0.9373827,51.4489829
Museum of English Rural Life,Other catering premises,6 Redlands Road,Reading,,RG1 5EX,5,2026-01-09,Reading,0,0,5,-0.95983,51.44904
Mustang kitchen,Takeaway/sandwich shop,18 Lincoln Road,Reading,,RG2 0EX,AwaitingInspection,,Reading,,,,-0.9652639,51.4390896
My Cup Of HK Tea,Takeaway/sandwich shop,77-79 Kings Road,Reading,,RG1 3DD,4,2024-09-12,Reading,10,5,5,-0.9640253,51.4550301
My Fruit Marketplace,Retailers - other,Blue Collar Corner 15 Hosier Street,Reading,,RG1 7QL,4,2026-04-08,Reading,10,0,0,,
Mywok Chowout,Takeaway/sandwich shop,89 Friar Street,Reading,,RG1 1EL,4,2026-03-04,Reading,5,10,5,-0.9764872,51.4563986
N Family Club,Hospitals/Childcare/Caring Premises,3-5 Craven Road,Reading,,RG1 5LF,5,2025-11-20,Reading,5,5,5,-0.9571614,51.4505631
N K Food and Wine,Retailers - other,Hardwick Road,Tilehurst,Reading,RG30 4LP,5,2025-01-06,Reading,0,0,0,,
Naa's Kitchen,Retailers - other,,,,,3,2025-10-02,Reading,10,10,10,,
Naaz Foods,Takeaway/sandwich shop,113 Kingsbridge Road,Reading,,RG2 7RG,AwaitingInspection,,Reading,,,,-0.9641561,51.4301867
Naijbasket,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Namak Mirch,Takeaway/sandwich shop,251 London Road,Reading,,RG1 3NY,3,2026-03-11,Reading,10,10,10,-0.946727,51.4537519
Namaste Kitchen at Hook & Tackle,Pub/bar/nightclub,Katesgrove Lane,Reading,,RG1 2ND,3,2025-09-11,Reading,10,10,10,-0.97300683,51.45067508
Nando's,Restaurant/Cafe/Canteen,30-31 Friar Street,Reading,,RG1 1AH,5,2026-03-11,Reading,5,5,5,,
Nando's,Restaurant/Cafe/Canteen,Unit B,Reading Gateway,Imperial Way,RG2 0GG,5,2026-04-21,Reading,0,5,0,,
Nando's Chickenland at The Oracle,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AG,5,2026-06-29,Reading,5,5,0,,
Nashtaydaan,Other catering premises,,,,,5,2026-06-11,Reading,5,5,0,,
Nathan's Nibbles,Restaurant/Cafe/Canteen,4 Prospect Street,Caversham,Reading,RG4 8JG,5,2026-01-22,Reading,5,5,0,-0.9729372,51.4677336
Natural Steps After School Club at the Globe,Hospitals/Childcare/Caring Premises,12 Portman Road,Reading,,RG30 1EA,5,2025-08-12,Reading,0,0,5,-0.9934546,51.4604212
Navara Lodge Residential Rest Home,Hospitals/Childcare/Caring Premises,1009 Oxford Road,Tilehurst,Reading,RG31 6TL,5,2025-06-05,Reading,0,0,5,-1.0323487,51.4719613
Nav's Kitchen,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Neferititi Market,Retailers - supermarkets/hypermarkets,61 St Marys Butts,Reading,,RG1 2LG,3,2026-02-03,Reading,10,10,10,-0.9744754,51.4549693
Neko Kitchen,Restaurant/Cafe/Canteen,19-23 Kings Walk  King Street,Reading,,RG1 2HG,4,2026-04-09,Reading,10,5,5,-0.9696329,51.45463
New Beginnings Reading at Queens Arms,Restaurant/Cafe/Canteen,24 Great Knollys Street,Reading,,RG1 7HL,5,2025-06-26,Reading,5,5,5,-0.9805555,51.4584106
New Bridge Nursery School,Other catering premises,Montague Street Caversham,Reading,,RG4 5AU,5,2026-01-28,Reading,5,0,5,,
New City Fish Bar,Takeaway/sandwich shop,52 Buckland Road,Reading,,RG2 7SW,4,2025-02-25,Reading,0,10,10,-0.96775,51.4334736
New Directions,Other catering premises,330 Northumberland Avenue,Reading,,RG2 8DH,5,2026-05-05,Reading,5,5,5,-0.9616969,51.4276202
New Directions at Cedar Court,Restaurant/Cafe/Canteen,30 Whitley Rise,Reading,,RG2 0NS,5,2025-03-07,Reading,0,5,5,-0.9645521,51.4406658
New Happy Garden,Takeaway/sandwich shop,81 Wokingham Road,Reading,,RG6 1LH,1,2026-03-12,Reading,15,15,20,-0.9370285,51.4487459
New Look at The Oracle,Retailers - other,Bridge Street,Reading,,RG1 2AH,Exempt,,Reading,,,,,
New Town Primary School Breakfast Club,Other catering premises,School Terrace,Reading,,RG1 3LS,5,2025-07-03,Reading,0,0,0,,
Newsmasters,Retailers - other,112 Northumberland Avenue,Reading,,RG2 7PP,4,2026-01-30,Reading,0,10,5,-0.9628719,51.4379894
Next Thing Education Camps,Other catering premises,110 Ashampstead Road,Reading,,RG30 3LJ,5,2024-04-04,Reading,0,5,5,-1.0159528,51.4417843
Next Thing Education Camps,Other catering premises,St Michaels Primary School Dee Road,Tilehurst,Reading,RG30 4AS,4,2026-03-31,Reading,5,10,5,,
Nibsy's,Other catering premises,,,,,5,2026-05-11,Reading,5,0,5,,
Nibsy's,Mobile caterer,Reading Station North Pitch 1 Trooper Potts Way,Reading,,,5,2025-10-28,Reading,5,5,0,,
Nicola Page Slimming World Consultant,Retailers - other,,,,,5,2026-01-21,Reading,0,0,0,,
Niki Convenience Store,Retailers - other,177-179 Whitley Wood Lane,Reading,Berkshire,RG2 8PW,0,2025-10-16,Reading,20,20,20,-0.96367,51.41711
NineSix,Distributors/Transporters,20-22 Richfield Avenue,Reading,,RG1 8EQ,4,2024-10-17,Reading,5,5,10,-0.9823905,51.4640754
Nirai,Restaurant/Cafe/Canteen,64 St Marys Butts,Reading,,RG1 2LG,5,2026-05-19,Reading,5,5,5,-0.9747663,51.4550324
Nisa,Retailers - supermarkets/hypermarkets,163-165 Caversham Road,Reading,,RG1 8BB,3,2025-05-17,Reading,10,10,10,-0.9764627,51.4632954
Nisa Local,Retailers - supermarkets/hypermarkets,89-91 Basingstoke Road,Reading,,RG2 0HA,3,2026-08-02,Reading,10,10,5,-0.9672929,51.4390715
Nisbets PLC,Retailers - other,62 Friar Street,Reading,,RG1 1DX,Exempt,,Reading,,,,-0.9755584,51.4567412
Nisha Food & Wine,Retailers - other,106 Queens Road,Reading,,RG1 4DG,5,2025-07-12,Reading,5,5,5,-0.960501,51.453686
Niyis Ltd,Retailers - other,Sentinel End,Reading,,RG2 0BF,3,2026-05-22,Reading,10,10,10,-0.9718867,51.4180257
No 1 Convenience Store,Retailers - other,1 Elgar Road,Reading,c,RG2 0BH,3,2024-10-19,Reading,10,10,10,-0.9727017,51.4480659
Noon Sweet and Savouries,Takeaway/sandwich shop,429 Oxford Road,Reading,,RG30 1HD,4,2025-10-01,Reading,5,10,5,-0.9970439,51.4569001
Norcot Food & Wine,Retailers - other,22 Norcot Road,Tilehurst,Reading,RG30 6BU,3,2025-11-05,Reading,10,10,10,-1.0348301,51.4601304
Norcot Food Pantry,Restaurant/Cafe/Canteen,Brockley Close,Tilehurst,Reading,RG30 4YP,5,2025-08-01,Reading,0,0,0,,
Norcot Service Station,Retailers - other,856 Oxford Road,Reading,,RG30 1EL,5,2023-06-22,Reading,0,0,0,-1.0129698,51.4625923
Northcourt Lodge Nursing Home,Hospitals/Childcare/Caring Premises,65 Northcourt Avenue,Reading,,RG2 7HF,5,2025-04-24,Reading,0,5,5,-0.9522019,51.4384069
Northcourt News,Retailers - other,159 Northcourt Avenue,Reading,,RG2 7HG,5,2025-04-24,Reading,0,5,0,-0.9502022,51.4340191
Northumberland Day Nursery,Hospitals/Childcare/Caring Premises,14 Northumberland Avenue,Reading,,RG2 7PW,5,2025-06-06,Reading,0,5,5,-0.9627571,51.4417829
Northumberland Food & Wine,Retailers - other,467 Northumberland Avenue,Reading,,RG2 8LZ,4,2026-05-06,Reading,10,10,0,-0.9591518,51.4231464
Nosh @,Takeaway/sandwich shop,48a Buckland Road,Reading,,RG2 7SW,2,2025-05-19,Reading,10,15,5,-0.967908,51.433484
Notes Coffee,Restaurant/Cafe/Canteen,3 Station Hill Square,Reading,,RG1 1LN,5,2025-09-25,Reading,5,5,0,-0.9735346,51.458119
Novotel,Hotel/bed & breakfast/guest house,25b Friar Street,Reading,,RG1 1DP,5,2025-05-13,Reading,5,5,5,-0.9727917,51.4569632
NSSport MJ at Churchend School,School/college/university,Usk Road,Tilehurst,Reading,RG30 4HP,5,2026-07-27,Reading,5,0,5,-1.0278372,51.4503366
NSSport MJ at St Michaels Primary School,School/college/university,Dee Road,Tilehurst,Reading,RG30 4AS,5,2026-01-28,Reading,5,0,5,,
Nutriseed,Manufacturers/packers,119 Loverock Road,Reading,,RG30 1DZ,5,2026-02-20,Reading,5,5,0,-1.0057434,51.4625942
Oakford Social Club,Pub/bar/nightclub,53 Blagrave Street,Reading,Berkshire,RG1 1PZ,5,2025-08-06,Reading,0,5,5,-0.9716082,51.4576777
Oakhouse Foods Thames Valley,Retailers - other,5 Arkwright Road,Reading,Berkshire,RG2 0LU,4,2025-01-21,Reading,5,10,5,-0.9694441,51.4374539
O'Anna's,Restaurant/Cafe/Canteen,Flat 1 1A London Road,Reading,,RG1 5BJ,3,2026-04-15,Reading,10,10,10,-0.9668742,51.4505952
Obaaku's Kitchen,Other catering premises,,,,,2,2026-07-31,Reading,15,5,10,,
OCS at Beechwood Grove,Hospitals/Childcare/Caring Premises,Albert Road,Caversham,Reading,RG4 7AN,5,2026-05-27,Reading,5,5,5,,
OCS Food Co at Thames Water,Restaurant/Cafe/Canteen,Vastern Road,Reading,,RG1 8DB,5,2025-04-24,Reading,5,5,0,,
OCS Food Company @ Tesco Reading,Restaurant/Cafe/Canteen,Imperial Way,Reading,,RG2 0RS,5,2026-06-19,Reading,0,0,0,,
OCS Food Company @ Thames Water,Restaurant/Cafe/Canteen,550 South Oak Way,Reading,,RG2 6AD,3,2026-06-22,Reading,10,5,10,-0.9905839,51.420841
Octobonbon,Other catering premises,,,,,5,2026-03-30,Reading,0,0,0,,
Office Point,Distributors/Transporters,Unit 5-6 Caxton Close Loverock Road Trading Estate,Reading,,RG30 1DZ,AwaitingInspection,,Reading,,,,,
Ohayo Sushi & Wok,Takeaway/sandwich shop,936 Oxford Road,Tilehurst,Reading,RG30 6TJ,5,2026-01-14,Reading,0,5,0,-1.0184853,51.4651742
Oishi,Takeaway/sandwich shop,314 Oxford Roas,Reading,,RG30 1AD,4,2026-03-25,Reading,5,5,10,-0.9949606,51.4567294
Olive Catering at Hibu Staff Canteen,Restaurant/Cafe/Canteen,23 Forbury Road,Reading,,RG1 3JH,5,2025-09-03,Reading,5,5,5,-0.9676819,51.4581826
Oliver’s Pure Oil,Retailers - other,Flat 10 154 Coley Avenue,Reading,,RG1 6FL,AwaitingInspection,,Reading,,,,,
One Beyond,Retailers - supermarkets/hypermarkets,Unit 1 Vastern Court Caversham Road,Reading,,RG1 8AL,4,2025-11-28,Reading,5,10,5,-0.9735381,51.4608329
One School Global,School/college/university,The Quad 14 Arkwright Road,Reading,,RG2 0LU,AwaitingInspection,,Reading,,,,-0.9706839,51.4367005
One Stop Shop,Retailers - other,83 Northumberland Avenue,Reading,,RG2 7PT,3,2025-09-19,Reading,10,10,10,-0.9621765,51.4388374
O'Neills,Pub/bar/nightclub,4 Friar Street,Reading,Berkshire,RG1 1DB,5,2025-04-03,Reading,0,5,0,-0.9703916,51.4567318
OPAC (Older Peoples Activities in Caversham),Restaurant/Cafe/Canteen,Northbrook Road,Caversham,Reading Berkshire,RG4 6PF,5,2025-08-21,Reading,0,5,0,,
Ori Caffe at John Lewis,Restaurant/Cafe/Canteen,108-113 Broad Street,Reading,,RG1 2BB,5,2025-09-22,Reading,0,5,0,-0.9720641,51.4553168
Oriental Express,Takeaway/sandwich shop,20 Farnham Drive,Caversham,Reading,RG4 6NY,3,2026-02-05,Reading,10,10,5,-0.9464445,51.4785225
Oriental Gourmet Chinese,Takeaway/sandwich shop,15 School Road,Tilehurst,Reading,RG31 5AR,4,2025-06-17,Reading,5,10,5,-1.0366063,51.4605407
Osaka at the Oracle,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AG,5,2024-10-07,Reading,5,5,5,,
Our Coop Little Pioneers,Other catering premises,The Hospitium Valp Street,Reading,,RG1 1AR,AwaitingInspection,,Reading,,,,,
Overbridge WHSmiths at Reading Rail Station,Retailers - other,Station Approach,Reading,,,Exempt,,Reading,,,,,
Oxford Road Community School After School Club,Other catering premises,146 Oxford Road,Reading,,RG1 7PJ,5,2025-09-18,Reading,5,5,5,-0.9868648,51.4557335
Oxford Road Primary School,School/college/university,146 Oxford Road,Reading,,RG1 7PJ,5,2023-10-06,Reading,0,0,0,-0.9868648,51.4557335
Oxford Road Service Station,Retailers - other,150 Oxford Road,Reading,,RG1 7PJ,5,2025-01-06,Reading,0,0,0,-0.987211,51.4557005
Oxford Road Store,Retailers - other,512 Oxford Road,Reading,,RG30 1EG,5,2021-10-02,Reading,5,5,5,-1.0020207,51.4583723
Oxford Sweet Shop,Retailers - other,462 Oxford Road,Reading,,RG30 1EE,Exempt,,Reading,,,,-1.0003028,51.457944
Oxygen ActivePlay Reading,Restaurant/Cafe/Canteen,8 Bridgewater Close,Reading,,RG30 1JT,5,2024-11-14,Reading,5,5,5,-1.0066859,51.4602912
OYE Paitu’s Kitchen,Takeaway/sandwich shop,308 Oxford Road,Reading,,RG30 1AD,3,2026-06-30,Reading,5,10,10,-0.9947601,51.4566827
P&K Cake Creations,Other catering premises,,,,,5,2023-07-12,Reading,0,5,5,,
PadelHub,Retailers - other,4b Kenavon Drive,Reading,,RG1 3HS,5,2025-09-09,Reading,0,0,5,-0.961521,51.4571246
"Paesinos Italian Pizzeria, Roast and Roots, Tokyo Burger",Restaurant/Cafe/Canteen,Unit 4 2 Kings Road,Reading,,RG1 3AA,5,2025-03-19,Reading,5,5,5,-0.9687359,51.4548379
Palace Village Pizza & Peri Peri,Takeaway/sandwich shop,254 Kentwood Hill Tilehurst,Reading,,RG31 6DP,3,2026-06-19,Reading,10,10,10,-1.0296209,51.4688816
Palmer Tavern,Pub/bar/nightclub,128 Wokingham Road,Reading,,RG6 1JL,5,2024-08-09,Reading,0,5,5,-0.9386248,51.4494078
Palmora Kitchen,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
Pan's Pickles,Other catering premises,,,,,5,2025-01-19,Reading,0,0,5,,
Papa Gee,Restaurant/Cafe/Canteen,5 Prospect Street,Caversham,Reading,RG4 8JB,4,2024-10-29,Reading,5,5,10,-0.972299,51.4679438
Papa Johns,Takeaway/sandwich shop,223 Shinfield Road,Reading,,RG2 8HD,5,2025-08-05,Reading,5,5,5,-0.9461599,51.4271398
Papa Johns,Takeaway/sandwich shop,Moulsford Mews,Reading,,RG30 1AP,5,2025-02-04,Reading,5,5,5,-0.99777003,51.45971832
Paprika Indian Takeaway,Takeaway/sandwich shop,167 Caversham Road,Reading,,RG1 8BB,4,2024-10-22,Reading,5,10,5,-0.9765045,51.4633587
Park Day Nursery,Hospitals/Childcare/Caring Premises,8 College Road,Reading,,RG6 1QB,4,2025-11-25,Reading,10,5,5,-0.9423448,51.450952
Park Eat at University of Reading,Restaurant/Cafe/Canteen,Upper Redlands Road,Reading,,RG1 5JL,5,2026-07-07,Reading,5,5,5,,
Park Lane Off Licence,Retailers - other,154 Park Lane,Tilehurst,Reading,RG31 4DU,2,2026-06-22,Reading,5,15,10,-1.0470569,51.4508428
Parkside House,Hospitals/Childcare/Caring Premises,Parkside Road,Reading,HAI,RG30 2DB,5,2025-07-14,Reading,0,5,0,,
Parkside International Hotel,Hotel/bed & breakfast/guest house,72 Bath Road,Reading,,RG30 2BE,2,2025-12-17,Reading,15,15,10,-0.9993325,51.4476668
Parthian Climbing,Restaurant/Cafe/Canteen,Britten Road,Reading,,RG2 0AU,5,2026-08-13,Reading,5,5,5,-0.97000132,51.44265394
Pasibrzueszek Polish Cousin Restaurant,Restaurant/Cafe/Canteen,49 Hemdean Road,Caversham,Reading,RG4 7SS,5,2023-02-24,Reading,0,5,0,-0.9737248,51.4692062
Pasta Evangelists,Takeaway/sandwich shop,Milford Road,Reading,,RG1 8LG,5,2025-05-20,Reading,5,5,5,-0.9811278,51.46238715
Pasty Shop at Reading Train station,Takeaway/sandwich shop,Station Approach,Reading,,RG1 1LZ,5,2025-04-03,Reading,0,0,0,-0.97266395,51.45874139
Pathaans,Restaurant/Cafe/Canteen,2 Bridge Street Caversham,Reading,,RG4 8AA,1,2026-06-29,Reading,15,15,20,-0.9771832,51.4664849
Pau Brasil,Retailers - other,89-91 Mount Pleasant,Reading,,RG1 2TF,3,2025-10-22,Reading,10,5,10,-0.9658658,51.4468278
Paul Patisserie,Restaurant/Cafe/Canteen,70-72 Broad Street,Reading,,RG1 2AF,5,2025-10-15,Reading,5,5,5,-0.9749931,51.4556302
Pavillion Pantry,Other catering premises,143-145 Oxford Road,Reading,,RG1 7UY,5,2025-05-07,Reading,5,5,0,-0.9826119,51.4547525
Paya/Korean Krispy,Takeaway/sandwich shop,84 London Street,Reading,,RG1 4SJ,1,2026-06-17,Reading,15,20,10,-0.9680315,51.4516035
Pembroke Lodge,Hospitals/Childcare/Caring Premises,32 Alexandra Road,Reading,EADING fOOD cENTRE,RG1 5PF,4,2026-04-28,Reading,5,5,10,-0.9526029,51.4491647
Penta Hotel Reading,Hotel/bed & breakfast/guest house,Oxford Road,Reading,Berkshire,RG1 7RH,5,2025-10-29,Reading,5,5,5,,
Pepe's Piri Piri,Takeaway/sandwich shop,109b Oxford Road,Reading,,RG1 7UD,4,2025-05-24,Reading,5,10,5,-0.9803807,51.4547691
Perfect Fried Chicken,Takeaway/sandwich shop,158 Oxford Road,Reading,,RG1 7PJ,3,2025-05-27,Reading,10,10,10,-0.9881743,51.4557448
Peri Peri Chicken Hut,Takeaway/sandwich shop,37 Whitley Street,Reading,,RG2 0EG,5,2025-03-17,Reading,0,0,0,-0.9652627,51.4455007
Perk Café,Restaurant/Cafe/Canteen,100 Brook Drive,Reading,,RG2 6UJ,5,2026-06-23,Reading,5,5,5,-0.9849655,51.425828
Perry's Carribbean Food,Restaurant/Cafe/Canteen,7 High Street,Reading,,RG1 2EA,3,2026-04-14,Reading,10,10,10,-0.9690014,51.4551909
Phantom Brewing Co,Pub/bar/nightclub,Meadow Road,Reading,,RG1 8LB,5,2020-02-28,Reading,5,5,5,,
Pho 86,Restaurant/Cafe/Canteen,35-37 St Marys Butts,Reading,,RG1 2LS,2,2026-06-03,Reading,15,10,10,-0.9741688,51.4538785
Pho at Kings Walk,Restaurant/Cafe/Canteen,King Street,Reading,,RG1 2HG,5,2026-06-12,Reading,5,5,0,-0.9691883,51.45498625
Picnic Foods,Restaurant/Cafe/Canteen,5 Butter Market,Reading,,RG1 2DP,5,2025-09-18,Reading,5,5,5,-0.9698198,51.4552791
Pielicious,Distributors/Transporters,,,,,5,2025-07-16,Reading,0,0,0,,
Pierre's Baguettes,Takeaway/sandwich shop,16-17 Harris Arcade,Reading,,RG1 1DN,5,2025-07-01,Reading,5,5,5,-0.9718479,51.4572572
Pierre's Baguettes,Takeaway/sandwich shop,58a St Marys Butts,Reading,,RG1 2LG,5,2025-02-17,Reading,5,0,0,-0.9744796,51.4547805
Pine Croft 1 Monks Barn,Hospitals/Childcare/Caring Premises,Cressingham Road,Reading,Berkshire,,5,2019-08-19,Reading,5,0,5,-0.96115055,51.43351938
Pine Rivers Day Nursery,Hospitals/Childcare/Caring Premises,5 Western Elms Avenue,Reading,,RG30 2AL,5,2025-08-27,Reading,5,5,0,-0.9920065,51.4549236
Piwnica Pub,Pub/bar/nightclub,81 London Road,Reading,,RG1 5BY,5,2025-05-19,Reading,5,5,0,-0.9560142,51.4522794
Pizza 2 Night,Takeaway/sandwich shop,155-157 Southampton Street,Reading,,RG1 2QZ,5,2026-04-22,Reading,5,5,5,-0.9675532,51.4479307
